id,month,year,region,population,pulmonary_tuberculosis,other_tuberculosis,typhoid,diptheria_and_croup,diptheria,croup,scarlet_fever,measles,whooping_cough,pneumonia,diarrhea_and_enteritis,diarrhea_under_five,cerebro_spinal_fever,polio,influenza,septicemia,cancer,external_causes,violence,smallpox
72,7,1918,rural,1701179,136,21,9,8,...,...,0,0,13,31,47,...,2,2,1,10,115,140,...,1
73,7,1918,class_1_cities,289577,26,7,5,7,...,...,0,0,5,7,22,...,2,0,0,1,16,28,...,2
74,7,1918,class_2_cities,299257,24,2,3,2,...,...,0,1,2,8,13,...,0,0,0,3,26,28,...,0
75,7,1918,class_3_cities,320018,25,6,2,3,...,...,0,1,2,20,28,...,0,0,0,2,17,46,...,0
76,7,1918,class_4_cities,165854,12,2,0,1,...,...,0,0,0,1,13,...,0,0,0,0,16,9,...,0
77,7,1918,class_5_cities,135780,10,3,4,0,...,...,0,0,2,3,11,...,1,0,0,1,13,10,...,0
78,8,1918,indiana,2911665,219,45,43,23,...,...,4,1,11,60,238,...,4,5,5,11,227,245,...,0
79,8,1918,northern_counties,1016514,70,15,9,5,...,...,2,0,3,15,88,...,1,0,0,4,79,102,...,0
80,8,1918,central_counties,1208708,91,22,18,15,...,...,2,0,4,34,90,...,2,1,3,2,106,92,...,0
81,8,1918,southern_counties,686443,58,8,16,3,...,...,0,1,4,11,60,...,1,4,2,5,42,51,...,0
82,8,1918,urban,1210486,109,26,18,14,...,...,2,1,4,28,130,...,2,3,3,5,115,114,...,0
83,8,1918,rural,1701179,110,19,25,9,...,...,2,0,7,32,108,...,2,2,2,6,112,131,...,0
84,8,1918,class_1_cities,289577,34,5,3,9,...,...,0,0,2,9,24,...,0,0,1,0,32,24,...,0
85,8,1918,class_2_cities,299257,24,9,6,1,...,...,0,0,0,4,30,...,0,2,1,3,24,23,...,0
86,8,1918,class_3_cities,320018,30,5,7,3,...,...,2,0,1,11,44,...,1,1,0,0,30,45,...,0
87,8,1918,class_4_cities,165854,11,5,2,1,...,...,0,0,0,2,18,...,1,0,0,2,13,8,...,0
88,8,1918,class_5_cities,135780,10,2,0,0,...,...,0,1,1,2,14,...,0,0,0,0,16,14,...,0
89,9,1918,indiana,2911665,186,44,44,31,...,...,3,1,11,130,221,...,1,4,61,8,189,160,...,0
90,9,1918,northern_counties,1016514,57,11,15,17,...,...,2,0,3,55,83,...,0,1,20,2,70,64,...,0
91,9,1918,central_counties,1208708,86,23,17,11,...,...,1,0,6,59,81,...,1,2,35,4,89,65,...,0
92,9,1918,southern_counties,686443,43,10,12,3,...,...,0,1,2,16,57,...,0,1,6,2,30,31,...,0
93,9,1918,urban,1210486,84,25,20,25,...,...,2,1,5,88,114,...,1,2,32,4,83,86,...,0
94,9,1918,rural,1701179,102,19,24,6,...,...,1,0,6,42,107,...,0,2,29,4,106,74,...,0
95,9,1918,class_1_cities,289577,29,5,2,4,...,...,0,0,1,27,20,...,0,0,7,3,23,18,...,0
96,9,1918,class_2_cities,299257,21,7,3,1,...,...,0,0,0,13,24,...,1,1,3,0,24,24,...,0
97,9,1918,class_3_cities,320018,13,5,9,17,...,...,2,0,1,36,38,...,0,1,22,1,17,34,...,0
98,9,1918,class_4_cities,165854,8,5,3,2,...,...,0,1,3,5,21,...,0,0,0,0,11,5,...,0
99,9,1918,class_5_cities,135780,13,3,3,1,...,...,0,0,0,7,11,...,0,0,0,0,11,5,...,0
100,10,1918,indiana,2911665,233,36,75,34,...,...,3,1,21,1261,128,...,1,4,2030,17,197,194,...,0
101,10,1918,northern_counties,1016514,74,12,26,9,...,...,1,0,7,533,53,...,0,2,773,4,67,87,...,0
102,10,1918,central_counties,1208708,108,14,23,20,...,...,2,0,8,570,53,...,1,0,877,12,90,69,...,0
103,10,1918,southern_counties,686443,51,10,26,5,...,...,0,1,6,158,22,...,0,2,380,1,40,38,...,0
104,10,1918,urban,1210486,108,17,28,25,...,...,2,0,7,770,70,...,1,1,992,8,93,105,...,0
105,10,1918,rural,1701179,125,19,47,9,...,...,1,1,14,491,58,...,0,3,1038,9,104,89,...,0
106,10,1918,class_1_cities,289577,40,4,3,11,...,...,0,0,1,221,18,...,1,0,209,1,25,20,...,0
107,10,1918,class_2_cities,299257,21,3,10,2,...,...,0,0,2,151,13,...,0,1,186,3,30,21,...,0
108,10,1918,class_3_cities,320018,22,6,11,7,...,...,2,0,2,316,22,...,0,0,359,3,19,45,...,0
109,10,1918,class_4_cities,165854,13,4,1,4,...,...,0,0,2,43,9,...,0,0,114,0,9,10,...,0
110,10,1918,class_5_cities,135780,12,0,3,1,...,...,0,0,0,39,8,...,0,0,124,1,10,9,...,0
111,11,1918,indiana,2911665,241,34,44,40,...,...,6,3,12,846,47,...,0,0,1683,12,205,178,...,0
112,11,1918,northern_counties,1016514,76,12,17,18,...,...,5,3,3,284,21,...,0,0,600,3,80,75,...,0
113,11,1918,central_counties,1208708,100,17,12,17,...,...,0,0,4,409,16,...,0,0,612,5,90,70,...,0
114,11,1918,southern_counties,686443,65,5,15,5,...,...,1,0,5,153,10,...,0,0,471,4,35,33,...,0
115,11,1918,urban,1210486,117,18,23,27,...,...,1,0,3,552,28,...,0,0,851,7,88,106,...,0
116,11,1918,rural,1701179,124,16,21,13,...,...,5,3,9,294,19,...,0,0,832,5,117,72,...,0
117,11,1918,class_1_cities,289577,35,3,1,5,...,...,0,0,2,182,7,...,0,0,121,0,18,15,...,0
118,11,1918,class_2_cities,299257,27,2,5,4,...,...,0,0,0,108,3,...,0,0,222,2,20,32,...,0
