Month,Year,Region,Population,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years","Cerebro-Spinal Fever",Poliomyelitis,Influenza,"Puerperal Septicemia",Cancer,"External Causes",Violence,Smallpox
October,1916,"Northern counties",998000,61,8,26,15,...,...,0,1,2,59,76,...,2,1,0,5,66,86,...,0
October,1916,"Central counties",1178368,121,26,41,37,...,...,2,1,8,68,82,...,2,5,2,5,94,101,...,0
October,1916,"Southern counties",684552,48,14,28,17,...,...,3,1,4,33,31,...,1,3,2,6,38,38,...,0
October,1916,Urban,1308540,130,27,39,31,...,...,2,2,8,90,112,...,3,5,2,9,97,132,...,0
October,1916,Rural,1552380,100,21,56,38,...,...,3,1,6,70,77,...,2,4,2,7,101,93,...,0
October,1916,"Cities, class 1",265890,39,5,8,5,...,...,0,0,1,18,13,...,2,1,0,1,25,28,...,0
October,1916,"Cities, class 2",282282,23,8,8,3,...,...,0,1,4,24,25,...,0,2,0,3,17,25,...,0
October,1916,"Cities, class 3",304643,26,3,11,10,...,...,0,0,0,26,38,...,0,1,1,1,19,49,...,0
October,1916,"Cities, class 4",152429,13,6,1,5,...,...,1,0,1,7,14,...,0,0,0,2,9,10,...,0
October,1916,"Cities, class 5",303296,29,5,11,8,...,...,1,1,2,15,22,...,1,1,1,2,27,20,...,0
November,1916,"Indiana (statewide)",2860920,222,39,45,67,...,...,7,5,10,253,71,...,1,10,21,13,172,210,...,0
November,1916,"Northern counties",998000,75,15,17,11,...,...,0,1,3,72,24,...,1,4,5,4,61,93,...,0
November,1916,"Central counties",1178368,87,14,21,37,...,...,2,3,4,108,29,...,0,3,9,6,68,72,...,0
November,1916,"Southern counties",684552,60,10,7,19,...,...,5,1,3,73,18,...,0,3,7,3,43,45,...,0
November,1916,Urban,1308540,129,21,33,39,...,...,3,1,2,136,43,...,0,6,7,7,85,124,...,0
November,1916,Rural,1552380,93,18,12,28,...,...,4,4,8,117,28,...,1,4,14,6,87,86,...,0
November,1916,"Cities, class 1",265890,23,3,8,16,...,...,0,0,0,37,12,...,0,1,2,3,24,17,...,0
November,1916,"Cities, class 2",282282,32,7,6,9,...,...,0,0,0,31,6,...,0,1,1,1,19,25,...,0
November,1916,"Cities, class 3",304643,33,9,8,5,...,...,0,0,2,34,10,...,0,1,3,2,15,47,...,0
November,1916,"Cities, class 4",152429,11,1,3,5,...,...,1,0,0,10,4,...,0,1,1,0,7,14,...,0
November,1916,"Cities, class 5",303296,30,1,8,4,...,...,2,1,0,24,11,...,0,2,0,1,20,21,...,0
December,1916,"Indiana (statewide)",2860920,234,44,35,62,...,...,10,5,7,353,47,...,1,3,24,17,200,214,...,0
December,1916,"Northern counties",998000,51,17,11,8,...,...,4,1,1,134,20,...,0,2,7,7,60,88,...,0
December,1916,"Central counties",1178368,101,17,19,31,...,...,4,4,5,135,16,...,0,1,7,8,94,92,...,0
December,1916,"Southern counties",684552,82,10,5,23,...,...,2,0,1,84,11,...,1,0,10,2,46,34,...,0
December,1916,Urban,1308540,106,21,18,37,...,...,4,3,4,180,33,...,0,0,12,11,91,127,...,0
December,1916,Rural,1552380,128,23,17,25,...,...,6,2,3,173,14,...,1,3,12,6,109,87,...,0
December,1916,"Cities, class 1",265890,30,2,1,15,...,...,0,0,1,37,4,...,0,0,2,0,25,29,...,0
December,1916,"Cities, class 2",282282,20,2,7,8,...,...,2,1,2,36,6,...,0,0,2,1,25,19,...,0
December,1916,"Cities, class 3",304643,25,9,3,5,...,...,1,0,0,62,16,...,0,0,0,5,9,42,...,0
