Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
October,1918,Northern counties,1016514,74,12,26,9,1,,7,533,53,,2,773,4,67,87
October,1918,Central counties,1208708,108,14,23,20,2,,8,570,53,1,,877,12,90,69
October,1918,Southern counties,686443,51,10,26,5,,1,6,158,22,,2,380,1,40,38
October,1918,All cities,1210486,108,17,28,25,2,,7,770,70,1,1,992,8,93,105
October,1918,"Over 100,000",289577,40,4,3,11,,,1,221,18,1,,209,1,25,20
October,1918,"45,000 to 100,000",299257,21,3,10,2,,,2,151,13,,1,186,3,30,21
October,1918,"20,000 to 45,000",320018,22,6,11,7,2,,2,316,22,,,359,3,19,45
October,1918,"10,000 to 20,000",165854,13,4,1,4,,,2,43,9,,,114,,9,10
October,1918,"Under 10,000",135780,12,,3,1,,,,39,8,,,124,1,10,9
October,1918,Country,1701179,125,19,47,9,1,1,14,491,58,,3,1038,9,104,89
November,1918,State,2911665,241,34,44,40,6,3,12,846,47,,,1683,12,205,178,
November,1918,Northern counties,1016514,76,12,17,18,5,3,3,284,21,,,600,3,80,75,
November,1918,Central counties,1208708,100,17,12,17,,,4,409,16,,,612,5,90,70,
November,1918,Southern counties,686443,65,5,15,5,1,,5,153,10,,,471,4,35,33,
November,1918,All cities,1210486,117,18,23,27,1,,3,552,28,,,851,7,88,106,
November,1918,"Over 100,000",289577,35,3,1,5,,,2,182,7,,,121,,18,15,
November,1918,"45,000 to 100,000",299257,27,2,5,4,,,,108,3,,,222,2,20,32,
November,1918,"20,000 to 45,000",320018,29,9,11,13,,,1,170,12,,,260,3,22,35,
November,1918,"10,000 to 20,000",165854,14,1,4,4,,,,40,,,,157,,12,10,
November,1918,"Under 10,000",135780,12,3,2,1,1,,,52,6,,,91,2,16,14,
November,1918,Country,1701179,124,16,21,13,5,3,9,294,19,,,832,5,117,72,
December,1918,State,2911665,289,27,29,39,5,2,7,917,40,2,5,1917,20,187,158,2
December,1918,Northern counties,1016514,74,8,9,16,1,1,1,298,21,1,1,721,6,66,63,1
December,1918,Central counties,1208708,131,9,12,21,2,,2,422,14,1,4,785,10,79,76,1
December,1918,Southern counties,686443,84,10,8,2,2,1,4,198,5,,,411,4,42,19,
December,1918,All cities,1210486,135,10,7,23,3,1,2,518,26,,2,921,11,94,99,1
December,1918,"Over 100,000",289577,38,2,,7,,,,158,7,,,89,1,20,26,
December,1918,"45,000 to 100,000",299257,31,4,2,2,,,,104,3,,2,211,3,17,25,
December,1918,"20,000 to 45,000",320018,24,2,4,12,1,,2,159,12,,,282,4,23,35,
December,1918,"10,000 to 20,000",165854,21,2,1,2,2,,,65,1,,,203,3,16,7,
December,1918,"Under 10,000",135780,21,,,,,1,,32,3,,,136,,18,6,1
December,1918,Country,1701179,154,17,22,16,2,1,5,399,14,2,3,996,9,93,59,1
January,1919,State,2911665,295,39,12,37,7,5,2,510,48,1,2,888,14,201,161,1
January,1919,Northern counties,1016514,72,11,6,16,6,3,1,171,23,1,1,309,6,27,72,
January,1919,Central counties,1208708,131,17,4,15,1,,,231,15,,1,341,6,93,71,1
January,1919,Southern counties,686443,92,11,2,6,,2,1,108,10,,,238,2,38,18,
January,1919,All cities,1210486,133,22,6,26,4,3,2,261,28,1,2,317,9,93,90,
January,1919,"Over 100,000",289577,34,7,1,9,,,,80,7,,,63,2,28,24,
January,1919,"45,000 to 100,000",299257,38,9,2,7,,2,1,51,4,1,,67,2,24,21,
January,1919,"20,000 to 45,000",320018,32,1,2,6,2,1,,61,14,,2,70,4,21,31,
January,1919,"10,000 to 20,000",165854,14,,1,1,2,,1,35,2,,,51,,8,11,
January,1919,"Under 10,000",135780,15,5,,3,,,,34,1,,,66,1,12,3,
January,1919,Country,1701179,162,17,6,11,3,2,,249,20,,,571,5,108,71,1
February,1919,State,2911665,264,37,20,25,10,6,5,451,43,4,2,519,19,183,143,
February,1919,Northern counties,1016514,65,11,10,9,6,4,1,150,20,,1,163,5,64,59,
February,1919,Central counties,1208708,124,15,3,10,3,,1,201,19,4,1,230,6,88,62,
February,1919,Southern counties,686443,75,11,7,6,1,2,3,100,4,,,156,8,31,22,
February,1919,All cities,1210486,121,15,8,16,4,3,1,247,26,2,1,223,13,87,80,
February,1919,"Over 100,000",289577,38,6,,8,,,,75,9,2,1,56,3,19,16,
February,1919,"45,000 to 100,000",299257,26,2,3,2,,2,1,76,7,,,79,2,23,20,
February,1919,"20,000 to 45,000",320018,28,4,3,3,4,,,51,7,,,37,5,24,26,
February,1919,"10,000 to 20,000",165854,17,1,,3,,1,,30,,,,22,3,8,7,
February,1919,"Under 10,000",135780,12,2,2,,,,,15,3,,,29,,13,11,
February,1919,Country,1701179,143,22,12,9,6,3,4,204,17,2,1,296,6,96,63,
March,1919,State,2948088,270,41,21,34,14,14,17,808,46,3,1,921,21,200,160,1
March,1919,Northern counties,1042514,68,12,12,10,10,8,5,267,24,2,,266,9,74,69,
March,1919,Central counties,1219131,126,22,4,16,2,2,3,368,13,1,1,428,9,86,70,
March,1919,Southern counties,686443,76,7,5,8,2,4,9,173,9,,,227,3,40,21,1
March,1919,All cities,1246909,121,18,11,15,8,6,5,403,28,1,1,390,10,96,89,
March,1919,"Over 100,000",300000,31,8,,5,,,,131,8,,,102,4,21,17,
March,1919,"45,000 to 100,000",355257,31,4,3,4,4,6,1,86,6,,1,93,1,24,26,
March,1919,"20,000 to 45,000",290018,27,4,4,5,3,1,2,124,10,,,114,5,21,28,
March,1919,"10,000 to 20,000",165854,14,,2,,1,,2,37,3,,,51,,16,10,
March,1919,"Under 10,000",135780,18,2,2,1,,,,25,1,1,,30,1,14,8,
March,1919,Country,1701179,149,23,10,19,6,8,12,405,18,2,,531,11,104,71,1
April,1919,State,2948088,263,36,16,21,7,13,4,416,39,1,2,258,16,187,170,
April,1919,Northern counties,1042514,86,7,13,12,3,7,,166,12,,1,105,5,75,82,
April,1919,Central counties,1219131,110,15,2,6,4,6,,188,14,1,1,106,5,82,62,
April,1919,Southern counties,686443,67,14,1,3,,,4,64,13,,,47,6,30,26,
April,1919,All cities,1246909,127,21,12,9,4,9,,191,19,,2,106,7,94,94,
April,1919,"Over 100,000",300000,34,6,1,2,,3,,59,2,,,22,1,17,19,
April,1919,"45,000 to 100,000",355257,39,6,,3,,4,,40,4,,1,14,1,22,30,
April,1919,"20,000 to 45,000",290018,33,3,11,4,3,2,,59,5,,,50,2,26,32,
April,1919,"10,000 to 20,000",165854,14,3,,,1,,,17,4,,1,12,3,12,5,
April,1919,"Under 10,000",135780,7,3,,,,,,16,4,,,8,,17,8,
April,1919,Country,1701179,136,15,4,12,3,4,4,225,20,1,,152,9,93,76,
May,1919,State,2948088,264,47,19,19,11,11,3,202,36,2,,61,13,186,166,1
May,1919,Northern counties,1042514,79,19,15,8,5,9,,81,15,1,,19,6,63,59,
May,1919,Central counties,1219131,119,1,1,10,3,2,1,82,15,,,28,4,84,77,1
May,1919,Southern counties,686443,66,8,3,1,3,,2,39,6,1,,14,3,39,30,
May,1919,All cities,1246909,116,21,14,9,3,8,,112,24,,,25,4,80,88,1
May,1919,"Over 100,000",300000,39,3,,2,,2,,28,5,,,6,,17,13,
May,1919,"45,000 to 100,000",355257,28,5,6,1,,5,,32,6,,,6,1,26,27,
May,1919,"20,000 to 45,000",290018,18,5,7,3,2,1,,34,8,,,6,2,21,29,1
May,1919,"10,000 to 20,000",165854,17,4,,2,1,,,12,4,,,6,,7,7,
May,1919,"Under 10,000",135780,14,4,1,1,,,,8,1,,,1,1,9,12,
May,1919,Country,1701179,148,26,5,10,8,3,3,90,12,2,,36,9,106,78,
June,1919,State,2948088,202,29,20,19,4,5,4,67,55,2,1,25,11,214,183,2
June,1919,Northern counties,1042514,57,7,10,8,2,4,2,26,23,1,,8,4,84,79,1
June,1919,Central counties,1219131,89,17,4,7,,,,30,17,1,,10,4,88,73,
June,1919,Southern counties,686443,56,5,6,4,2,1,2,11,15,,1,7,3,42,31,1
June,1919,All cities,1246909,93,14,12,10,2,2,4,43,30,1,,15,6,85,97,1
June,1919,"Over 100,000",300000,27,7,1,2,,,,13,5,1,,2,2,20,23,
June,1919,"45,000 to 100,000",355257,20,3,3,6,1,1,3,11,10,,,3,,27,41,
June,1919,"20,000 to 45,000",290018,27,2,6,,1,,1,12,9,,,5,3,13,20,1
June,1919,"10,000 to 20,000",165854,6,1,,1,,1,,5,1,,,1,,12,8,
June,1919,"Under 10,000",135780,13,1,2,1,,,,2,5,,,4,1,13,5,
June,1919,Country,1701179,109,15,8,9,2,3,,24,25,1,1,10,5,129,86,1
July,1919,State,2948088,206,57,28,20,1,1,4,55,144,3,2,12,12,253,226,2
July,1919,Northern counties,1042514,61,18,9,3,1,1,2,26,44,2,1,3,6,91,94,
July,1919,Central counties,1219131,90,27,10,15,,,1,20,55,1,1,8,6,115,96,2
July,1919,Southern counties,686443,55,12,9,2,,,1,9,45,,,1,,47,36,
July,1919,All cities,1246909,102,28,14,9,,1,4,29,77,1,1,2,11,111,109,1
July,1919,"Over 100,000",300000,28,10,2,5,,,1,3,18,,,1,3,29,23,
July,1919,"45,000 to 100,000",355257,31,4,1,1,,,2,7,19,1,,,4,27,34,
July,1919,"20,000 to 45,000",290018,15,9,9,3,,1,,9,20,,,,2,26,31,1
July,1919,"10,000 to 20,000",165854,16,3,2,,,,,3,11,,1,,2,12,12,
July,1919,"Under 10,000",135780,12,2,,,,,1,7,9,,,1,,17,9,
July,1919,Country,1701179,104,29,14,11,1,,,26,67,2,1,10,1,142,117,1
August,1919,State,2948088,166,40,38,14,3,,6,47,158,2,3,17,15,202,190,
August,1919,Northern counties,1042514,41,9,6,4,,,,20,47,2,3,5,3,76,67,
August,1919,Central counties,1219131,86,14,15,8,3,,1,20,69,,,10,7,77,80,
August,1919,Southern counties,686443,39,17,17,2,,,5,7,42,,,2,5,49,43,
August,1919,All cities,1246909,81,23,15,8,2,,4,33,81,1,1,10,9,99,93,
August,1919,"Over 100,000",300000,35,7,,2,1,,1,6,17,,,4,3,17,22,
August,1919,"45,000 to 100,000",355257,21,4,6,1,,,3,9,21,,1,1,1,28,25,
August,1919,"20,000 to 45,000",290018,14,6,4,4,1,,,14,23,1,,4,3,34,24,
August,1919,"10,000 to 20,000",165854,7,3,2,1,,,,3,15,,,1,2,7,9,
August,1919,"Under 10,000",135780,4,3,3,,,,,1,5,,,,,13,13,
August,1919,Country,1701179,85,17,23,6,1,,2,14,77,1,2,7,6,103,97,
September,1919,State,2948088,172,31,48,17,4,1,2,67,162,5,3,18,10,182,185,
September,1919,Northern counties,1042514,43,11,17,6,4,1,,24,65,2,1,8,2,66,83,
September,1919,Central counties,1219131,83,10,23,10,,,1,32,55,3,1,6,6,77,71
September,1919,Southern counties,686443,46,10,8,1,,,1,11,42,,1,4,2,39,31
September,1919,All cities,1246909,80,17,19,12,4,,1,37,85,3,,9,3,81,100
September,1919,"Over 100,000",300000,23,6,2,4,,,,13,15,,,2,1,21,14
September,1919,"45,000 to 100,000",355257,26,2,3,1,1,,,11,14,1,,2,2,23,33
September,1919,"20,000 to 45,000",290018,14,3,5,6,3,,,7,31,2,,2,,16,30
September,1919,"10,000 to 20,000",165854,9,4,6,1,,,,2,15,,,,,12,11
